date,season,owner,teamId,player,pos,winBid,nBidders,topLoserBid
2023-12-06,2023,Ryan505,535566,Romeo Doubs,WR,35,2,16
2023-12-06,2023,madmax101010,1029198,Zay Jones,WR,11,2,11
2023-12-06,2023,madmax101010,1029198,Cleveland Browns,D/ST,3,1,
2023-12-06,2023,Joles,1173483,Kenny Gainwell,RB,3,1,
2023-12-01,2023,Iyano1911,689370,Jameson Williams,WR,1,1,
2023-11-29,2023,Chance145,1173487,Jordan Love,QB,25,2,1
2023-11-29,2023,Iyano1911,689370,Pat Freiermuth,TE,8,2,2
2023-11-29,2023,Joles,1173483,Gerald Everett,TE,1,1,
2023-11-29,2023,Joles,1173483,Gardner Minshew,QB,1,1,
2023-11-22,2023,Joles,1173483,Derek Carr,QB,4,1,
2023-11-22,2023,madmax101010,1029198,Isaiah Likely,TE,3,2,2
2023-11-15,2023,zach_montoya,769096,Jerick McKinnon,RB,2,1,
2023-11-15,2023,Iyano1911,689370,Jason Sanders,K,1,1,
2023-11-08,2023,Joles,1173483,Keaton Mitchell,RB,26,1,
2023-11-08,2023,Iyano1911,689370,Joshua Dobbs,QB,22,1,
2023-11-08,2023,Joles,1173483,Seattle Seahawks,D/ST,4,2,3
2023-11-08,2023,Joles,1173483,Brandon McManus,K,2,1,
2023-11-08,2023,JGERK,573189,Baltimore Ravens,D/ST,1,2,1
2023-11-01,2023,Joles,1173483,Trey McBride,TE,36,4,15
2023-11-01,2023,Joles,1173483,DeMario Douglas,WR,10,2,2
2023-10-27,2023,Brotesk,1519607,D'Onta Foreman,RB,55,1,
2023-10-26,2023,JGERK,573189,Seattle Seahawks,D/ST,1,1,
2023-10-25,2023,zach_montoya,769096,Dalton Kincaid,TE,23,2,13
2023-10-25,2023,madmax101010,1029198,Gus Edwards,RB,4,2,4
2023-10-18,2023,zach_montoya,769096,Zach Evans,RB,24,2,11
2023-10-18,2023,madmax101010,1029198,Jordan Mason,RB,4,1,
2023-10-18,2023,madmax101010,1029198,Wan'Dale Robinson,WR,2,1,
2023-10-11,2023,JGERK,573189,Emari Demercado,RB,41,2,4
2023-10-11,2023,levp,1030247,Logan Thomas,TE,23,3,20
